,movie_id,movie_imdb_id,movie_name,language,overview,release_date,status,rating,vote_count,genre,runtime,poster_url
2418,15639,tt0462395,Larry the Cable Guy: Health Inspector,en,A slovenly cable repairman becomes a big-city health inspector and is tasked with uncovering the source of a food poisoning epidemic.,2006-03-24,Released,4.0,46,"Comedy, ",89,https://image.tmdb.org/t/p/original/tVyfnRjssOeph5UeFguh8RL8kFo.jpg
2419,16112,tt0159421,The Adventures of Elmo in Grouchland,en,"Elmo loves his fuzzy, well-worn blue blanket more than anything in the whole world. Elmo's blanket gets sucked into colorful, swirling tunnel into Grouchland, the yuckiest place on earth. Elmo goes on an adventure to Grouchland to retrieve his blanket.",1999-10-01,Released,6.3,70,"Music, Family, Adventure, Comedy, Fantasy, ",73,https://image.tmdb.org/t/p/original/u9i4frT1XPaTqJxRYLJ8j2r8LYO.jpg
2420,26390,tt1210042,Brooklyn's Finest,en,Enforcing the law within the notoriously rough Brownsville section of the city and especially within the Van Dyke housing projects is the NYPD's sixty-fifth precinct. Three police officers struggle with the sometimes fine line between right and wrong.,2010-03-04,Released,6.307,750,"Crime, Drama, Thriller, ",133,https://image.tmdb.org/t/p/original/9ZyJJpMsc3bF8gduDaxo0zo1gwK.jpg
2421,27759,tt0056800,55 Days at Peking,en,"Diplomats, soldiers and other representatives of a dozen nations fend off the siege of the International Compound in Peking during the 1900 Boxer Rebellion. The disparate interests unite for survival despite competing factions, overwhelming odds, delayed relief and tacit support of the Boxers by the Empress of China and her generals.",1963-05-06,Released,7.2,128,"Action, Adventure, Drama, ",154,https://image.tmdb.org/t/p/original/uR0xaqmqlbhatf9014mHuwV1Uly.jpg
2422,764,tt0083907,The Evil Dead,en,"When a group of college students finds a mysterious book and recording in the old wilderness cabin they've rented for the weekend, they unwittingly unleash a demonic force from the surrounding forest.",1981-09-10,Released,7.308,3022,"Horror, ",85,https://image.tmdb.org/t/p/original/li05U702n3FzwX2mYtjDBVzeWio.jpg
2423,23049,tt0865559,My Life in Ruins,en,"A Greek tour guide named Georgia attempts to recapture her kefi (Greek for mojo) by guiding a ragtag group of tourists around Greece and showing them the beauty of her native land. Along the way, she manages to open their eyes to the wonders of an exotic foreign land while beginning to see the world through a new set of eyes in the process.",2009-06-05,Released,6.1,341,"Comedy, Romance, ",95,https://image.tmdb.org/t/p/original/u9UXXbGeUlgBOvUVxASVnFdvuLD.jpg
2424,9310,tt0465142,American Dreamz,en,"The new season of ""American Dreamz,"" the wildly popular television singing contest, has captured the country's attention, as the competition looks to be between a young Midwestern gal and a showtunes-loving young man from Orange County. Recently awakened President Staton even wants in on the craze, as he signs up for the potential explosive season finale.",2006-03-04,Released,5.0,247,"Comedy, Drama, ",107,https://image.tmdb.org/t/p/original/loww8fONhdlZQmvMhZFirrg2c1d.jpg
2425,11411,tt0094074,Superman IV: The Quest for Peace,en,"With global superpowers engaged in an increasingly hostile arms race, Superman leads a crusade to rid the world of nuclear weapons. But Lex Luthor, recently sprung from jail, is declaring war on the Man of Steel and his quest to save the planet. Using a strand of Superman's hair, Luthor synthesizes a powerful ally known as Nuclear Man and ignites an epic battle spanning Earth and space.",1987-07-24,Released,4.5,983,"Action, Adventure, Science Fiction, ",90,https://image.tmdb.org/t/p/original/vhs3P0JwqzlgfBqhjnCWDEOtDmS.jpg
2426,16988,tt0770810,How She Move,en,"After the death of Raya Green's(Rutina Wesley) sister, she gets out from her classes at school, and sees a stomp crew practicing. She meets Bishop(Dwain Murphy) which is the dance crew leader. She then meets Michelle and does a stomp battle with her. They become enemies then friends later on. Her uptight mom pushes her to pass the test to get into Medical school, but she thinks she failed....",2008-01-25,Released,4.1,26,"Drama, ",94,https://image.tmdb.org/t/p/original/xbQnpPZZXfuYcYs4n1AgH0Tjgi6.jpg
2427,8875,tt0857295,Timber Falls,en,"A weekend of camping in the mountains becomes an excursion into hell for a young couple, who become pawns in a grotesque plot hatched by deranged locals.",2007-12-07,Released,5.2,119,"Horror, Thriller, ",97,https://image.tmdb.org/t/p/original/9EIsSXFSIVoT6mQODnUZ62gz4BT.jpg
2428,872,tt0045152,Singin' in the Rain,en,"In 1927 Hollywood, a silent film production company and cast make a difficult transition to sound.",1952-04-09,Released,8.177,2485,"Comedy, Music, Romance, Drama, ",103,https://image.tmdb.org/t/p/original/zjrpWniKbzu0zFR5sUI1Ptdfl9y.jpg
2429,356216,tt2945796,The Rise of the Krays,en,"Follows the early years of two unknown 18 year old amateur boxers who quickly fought their way to becoming the most feared and respected villains in all of London. Told through the eyes of a close friend that survived them, we see them rise to infamy through drugs, sex and murder.",2015-08-29,Released,4.5,37,"Crime, ",110,https://image.tmdb.org/t/p/original/xqqUwHR1gH04wpJOYxUiPnmGImu.jpg
2430,7304,tt0404390,Running Scared,en,"Joey Gazelle is a low level mobster whose job it is to dispose of ""hot"" guns from mob killings. But Joey has been hiding these guns in the drywall of his basement, instead of tossing them in the river. When Joey's son and his best friend, Oleg, witness Joey hiding some guns from a botched drug deal, Oleg steals one of the guns and shoots his abusive stepfather with it. Things are bad enough, but Oleg's stepfather happens to be the nephew of a psychotic Russian mob boss, who happens to be in business with Joey's crew on a gasoline scam. But now Joey's got a dirty cop from the botched drug deal on his case, not to mention the hot .38 out there on the street. As well as Oleg, who can connect Joey to the gun. And if Joey manages to make it through the night, he's still got to answer to his wife.",2006-01-06,Released,7.005,843,"Action, Crime, Drama, Thriller, ",122,https://image.tmdb.org/t/p/original/wVlwZbwJlI5C33STslTyVNRGjg6.jpg
2431,24747,tt0375104,Bobby Jones: Stroke of Genius,en,"The story of golf icon and legend, Bobby Jones, who retired from competition at the tender age of 28.",2004-04-30,Released,5.9,36,"Drama, ",120,https://image.tmdb.org/t/p/original/wzbV4jsCWZqOEAmyjjGemLNZbK7.jpg
2432,58048,tt0091934,Shanghai Surprise,en,"Glendon Wasey is a fortune hunter looking for a fast track out of China. Gloria Tatlock is a missionary nurse seeking the curing powers of opium for her patients. Fate sets them on a hectic, exotic, and even romantic quest for stolen drugs. But they are up against every thug and smuggler in Shangai.",1986-08-29,Released,4.2,50,"Adventure, Comedy, Crime, Drama, Romance, ",97,https://image.tmdb.org/t/p/original/8zsU3Vq9FG9Q0kTEYrl0CWDlvX2.jpg
2433,1491,tt0443543,The Illusionist,en,"With his eye on a lovely aristocrat, a gifted illusionist named Eisenheim uses his powers to win her away from her betrothed, a crown prince. But Eisenheim's scheme creates tumult within the monarchy and ignites the suspicion of a dogged inspector.",2006-08-18,Released,7.296,4135,"Fantasy, Drama, Thriller, Romance, ",110,https://image.tmdb.org/t/p/original/4I1oOPHNrHLcvz3wTMuETJLws9z.jpg
2434,359983,tt4938602,The Lion Guard: Return of the Roar,en,"Set in the African savannah, the film follows Kion as he assembles the members of the 'Lion Guard'. Throughout the film, the diverse team of young animals will learn how to utilize each of their unique abilities to solve problems and accomplish tasks to maintain balance within the Circle of Life, while also introducing viewers to the vast array of animals that populate the prodigious African landscape.",2015-11-22,Released,6.484,944,"Family, TV Movie, Animation, ",44,https://image.tmdb.org/t/p/original/duqg6CiSik02nSXjiQHo8TcwY4b.jpg
2435,10629,tt0312549,Veronica Guerin,en,"In this true story, Veronica Guerin is an investigative reporter for an Irish newspaper. As the drug trade begins to bleed into the mainstream, Guerin decides to take on and expose those responsible. Beginning at the bottom with addicts, Guerin then gets in touch with John Traynor, a paranoid informant. Not without some prodding, Traynor leads her to John Gilligan, the ruthless head of the operation, who does not take kindly to Guerin's nosing.",2003-07-11,Released,6.7,230,"Drama, Crime, Thriller, ",98,https://image.tmdb.org/t/p/original/14RnhkH9ArHZ8viDAej4TnVl4Jg.jpg
2436,255343,tt2515030,Escobar: Paradise Lost,en,"For Pablo Escobar family is everything. When young surfer Nick falls for Escobar's niece, Maria, he finds his life on the line when he's pulled into the dangerous world of the family business.",2014-10-11,Released,6.282,689,"Thriller, Romance, ",120,https://image.tmdb.org/t/p/original/4HngNLzCmUYCPB8FbxSZWN0eDKM.jpg
2437,4723,tt0405336,Southland Tales,en,"Set in the futuristic landscape of Los Angeles on July 4, 2008, as it stands on the brink of social, economic and environmental disaster. Boxer Santaros is an action star who's stricken with amnesia. His life intertwines with Krysta Now, an adult film star developing her own reality television project, and Ronald Taverner, a Hermosa Beach police officer who holds the key to a vast conspiracy.",2007-11-14,Released,5.1,426,"Comedy, Science Fiction, Drama, Mystery, Thriller, ",145,https://image.tmdb.org/t/p/original/7dbIDQ80z4bxiDlAvxRwc5TI44C.jpg
2438,10800,tt0944834,Chasseurs de dragons,fr,"Dragon Hunters is a fantastic tale telling the adventures of two dragon hunters: the world has become a vast conglomerate of islands of varying size and shape. This babbling universe is mainly peopled with ruthless rogues, surly peasants and illiterate, petty lords Their main concerns revolve around two fundamental rules : Eat and don't get eaten.",2008-03-19,Released,6.5,377,"Animation, Family, ",80,https://image.tmdb.org/t/p/original/bhHhTCh43aT3kAeknSd5T5BcZcJ.jpg
2439,25763,tt0075909,Damnation Alley,en,"Following World War III, four survivors at an desert military installation attempt to drive across the desolate wasteland of America to Albany, where they hope more survivors are living, using a specially built vehicles to protect themselves against the freakish weather, mutated plant and animal life, and other dangers encountered along the way.",1977-09-10,Released,5.1,71,"Action, Adventure, Science Fiction, ",91,https://image.tmdb.org/t/p/original/bVTIAU8GzJQJczRm2VAZ7drRVOD.jpg
2440,79694,tt1433822,The Apparition,en,"Plagued by frightening occurrences in their home, Kelly and Ben learn that a university's parapsychology experiment produced an entity that is now haunting them. The malevolent spirit feeds on fear and torments the couple no matter where they run. Desperate, Kelly and Ben turn to a paranormal researcher, but even with his aid, it may already be too late to save themselves from the terrifying presence.",2012-08-23,Released,4.421,355,"Horror, Thriller, ",82,https://image.tmdb.org/t/p/original/jO45nIEQMWHE0I68aGls3mRJR8M.jpg
2442,18615,tt0422295,Fur: An Imaginary Portrait of Diane Arbus,en,"In 1958 New York Diane Arbus is a housewife and mother who works as an assistant to her husband, a photographer employed by her wealthy parents. Respectable though her life is, she cannot help but feel uncomfortable in her privileged world. One night, a new neighbor catches Diane's eye, and the enigmatic man inspires her to set forth on the path to discovering her own artistry.",2006-08-30,Released,6.2,237,"Drama, History, ",122,https://image.tmdb.org/t/p/original/wcgK5qsbFE24f29VS8RQrKzBmqJ.jpg
2443,4584,tt0114388,Sense and Sensibility,en,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",1995-12-13,Released,7.472,1347,"Drama, Romance, ",136,https://image.tmdb.org/t/p/original/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg
2444,2977,tt0416508,Becoming Jane,en,A biographical portrait of a pre-fame Jane Austen and her romance with a young Irishman.,2007-03-02,Released,7.319,990,"Romance, Drama, ",120,https://image.tmdb.org/t/p/original/yHA6JEn57MBGp2yGFgYyopJvk2O.jpg
2445,10760,tt0815244,Sydney White,en,A modern retelling of Snow White set against students in their freshman year of college in the greek system.,2007-09-21,Released,6.5,909,"Comedy, ",108,https://image.tmdb.org/t/p/original/ce3NNmhVZY5NkUe5Y8Je8CciKqf.jpg
2446,11093,tt0315983,House of Sand and Fog,en,"Behrani, an Iranian immigrant buys a California bungalow, thinking he can fix it up, sell it again, and make enough money to send his son to college. However, the house is the legal property of former drug addict Kathy. After losing the house in an unfair legal dispute with the county, she is left with nowhere to go. Wanting her house back, she hires a lawyer and befriends a police officer. Neither Kathy nor Behrani have broken the law, so they find themselves involved in a difficult moral dilemma.",2003-12-19,Released,7.171,583,"Drama, ",126,https://image.tmdb.org/t/p/original/ol3qMk1NYw1pma49FXSz9SUja4d.jpg
2447,207,tt0097165,Dead Poets Society,en,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",1989-06-02,Released,8.322,9285,"Drama, ",128,https://image.tmdb.org/t/p/original/ai40gM7SUaGA6fthvsd87o8IQq4.jpg
